Zone_ID,Neighborhood,Ward,Flood_Risk_Level,Elevation_m,Distance_Coast_km,Distance_River_km,Avg_Annual_Flood_Days,Population_SqKm,Drainage_Quality_Index,Historical_Aid_Required_USD
MUMFZ043,Lower Parel,G/South,High,2.9,1.2,1.0,14,25400,5,2500000
MUMFZ044,Mahalaxmi,D,Medium,3.8,0.9,1.5,10,16500,7,1700000
MUMFZ045,Tardeo,D,Medium,3.7,1.1,1.3,11,17800,7,1800000
MUMFZ046,Girgaon,B,Medium,3.9,0.7,1.6,9,15400,8,1600000
MUMFZ047,Charni Road,B,Medium,3.6,0.6,1.4,10,16500,7,1700000
MUMFZ048,Grant Road,B,High,3.1,1.2,0.9,13,23400,6,2300000
MUMFZ049,Opera House,B,Medium,3.5,1.0,1.1,11,18700,7,1900000
MUMFZ050,Marine Drive,C,Medium,3.8,0.3,1.7,8,13400,8,1500000
MUMFZ051,Nepean Sea Road,D,Low,10.5,0.5,2.8,4,6500,9,700000
MUMFZ052,Breach Candy,D,Low,9.8,0.6,2.5,5,7200,9,800000
MUMFZ053,Pedder Road,D,Low,8.5,0.7,2.2,6,7800,9,850000
MUMFZ054,Kemps Corner,D,Medium,5.2,0.8,1.9,7,9800,8,1100000
MUMFZ055,Altamount Road,D,Low,7.8,0.7,2.1,5,6500,9,750000
MUMFZ056,Haji Ali,D,Medium,4.0,0.5,1.5,9,13400,8,1500000
MUMFZ057,Worli Naka,D,High,3.2,0.9,1.0,14,23400,6,2400000
MUMFZ058,Prabhadevi,G/South,High,3.0,1.5,0.8,15,25400,5,2600000
MUMFZ059,Mahim Causeway,G/North,High,2.8,1.8,0.6,16,27600,4,2800000
MUMFZ060,Bandra West,H/West,Medium,3.5,2.5,1.2,10,16500,7,1800000
MUMFZ061,Bandra East,H/East,High,2.9,2.2,0.7,14,23400,6,2400000
MUMFZ062,Khar West,H/West,Medium,3.6,2.0,1.3,11,18700,7,2000000
MUMFZ063,Khar East,H/East,High,2.7,1.8,0.5,15,25400,5,2700000
MUMFZ064,Santacruz East,H/East,High,2.5,2.5,0.4,16,27600,4,2900000
MUMFZ065,Vile Parle East,H/East,Medium,3.2,2.8,0.7,12,19800,6,2100000
MUMFZ066,Andheri West,K/West,Medium,3.4,4.2,1.0,11,18700,7,2000000
MUMFZ067,Andheri East,K/East,Extreme,1.9,4.0,0.3,21,35000,3,3200000
MUMFZ068,Jogeshwari East,K/East,High,2.3,3.8,0.4,17,31200,4,3100000
MUMFZ069,Goregaon East,P/South,High,2.5,4.5,0.6,16,29800,4,3000000
MUMFZ070,Malad West,P/North,Medium,3.1,5.8,0.9,10,17800,6,1900000
MUMFZ071,Malad East,P/North,High,2.4,5.5,0.5,17,31200,4,3100000
MUMFZ072,Kandivali West,R/South,Medium,3.2,6.5,1.0,9,16500,7,1800000
MUMFZ073,Kandivali East,R/South,High,2.3,6.2,0.4,16,29800,4,3000000
MUMFZ074,Borivali West,R/North,Medium,3.5,7.5,1.2,8,15400,7,1700000
MUMFZ075,Borivali East,R/North,Medium,3.2,7.2,0.8,11,18700,6,2000000
MUMFZ076,Dahisar West,R/North,Medium,3.8,8.5,1.5,7,13400,8,1500000
MUMFZ077,Dahisar East,R/North,Medium,3.5,8.2,1.0,10,16500,7,1800000
MUMFZ078,Mira Road,R/North,Medium,3.2,9.0,0.8,12,19800,6,2100000
MUMFZ079,Bhayandar West,R/North,Medium,3.0,9.5,0.6,13,23400,5,2300000
MUMFZ080,Bhayandar East,R/North,High,2.5,9.2,0.3,15,25400,4,2700000
MUMFZ081,Thane West,T,Medium,3.7,8.8,1.2,9,16500,7,1900000
MUMFZ082,Thane East,T,High,2.8,8.5,0.5,14,23400,5,2600000
MUMFZ083,Mulund West,T,Medium,4.0,7.5,1.5,8,15400,7,1800000
MUMFZ084,Mulund East,T,Medium,3.8,7.2,1.0,11,18700,6,2100000
MUMFZ085,Nahur,T,High,2.6,6.8,0.4,16,28700,4,2900000
MUMFZ086,Bhandup West,S,High,2.4,6.2,0.3,17,31200,3,3100000
MUMFZ087,Bhandup East,S,Extreme,1.7,5.8,0.2,22,38700,2,4100000
MUMFZ088,Vikhroli West,S,High,2.1,5.5,0.3,18,34200,3,3300000
MUMFZ089,Vikhroli East,S,Extreme,1.5,5.2,0.1,23,45600,1,4200000
MUMFZ090,Ghatkopar West,N,Medium,3.2,4.5,0.7,12,19800,6,2200000
MUMFZ091,Ghatkopar East,N,High,2.3,4.2,0.3,17,32400,4,3400000
MUMFZ092,Vidyavihar,N,High,2.5,4.8,0.4,16,29800,4,3200000
MUMFZ093,Kanjurmarg,S,Extreme,1.6,5.0,0.2,21,36500,2,3900000
MUMFZ094,Bhandup Complex,S,Extreme,1.4,5.5,0.1,24,47800,1,4500000
MUMFZ095,Powai,K/East,Medium,4.2,4.2,0.8,9,15400,8,1700000
MUMFZ096,Chandivali,K/East,High,2.7,4.5,0.5,15,27600,5,2800000
MUMFZ097,Marol Naka,K/East,High,2.5,4.0,0.4,16,28700,4,2900000
MUMFZ098,Saki Naka,K/East,Extreme,1.8,3.8,0.2,20,36500,2,3800000
MUMFZ099,Asalpha,K/East,Extreme,1.6,3.5,0.1,22,38700,1,4000000
MUMFZ100,Kurla West,L,Extreme,1.5,4.2,0.1,23,45600,1,4300000
